date,description,amount,type
2025-05-14,Electricity Bill,-70.50,debit
2025-05-20,Online Shopping,-89.99,debit
2025-05-25,Streaming Subscription,-15.99,debit
2025-06-01,Salary Deposit,3400.00,credit
2025-06-04,Grocery Store,-108.20,debit
2025-06-07,Food Delivery,-24.30,debit
2025-06-10,Internet Bill,-45.00,debit
2025-06-14,Restaurant Dinner,-55.75,debit
2025-06-18,Movie Tickets,-20.00,debit
2025-06-24,Coffee Shop,-6.80,debit
